z_LCDM,fs8_LCDM_curve,delta_LCDM,f_LCDM,z_GEO_CLASS,fs8_GEO_CLASS_curve,delta_GEO_CLASS,f_GEO_CLASS
2.2,0.17495771420486553,1e-05,0.9999998512415336,2.2,0.3947256085707963,1e-05,0.9996586037428676
2.198165137614679,0.17505806546936178,1.0005737233799182e-05,0.999999702338755,2.198165137614679,0.3948172469203196,1.0005735275420886e-05,0.9993175454419543
2.196330275229358,0.17515850577922806,1.0011481052836735e-05,0.9999994042082108,2.196330275229358,0.39477405646582425,1.0011473214216442e-05,0.9986355440487387
2.194495412844037,0.17525906137409694,1.001723146845533e-05,0.9999991056938597,2.194495412844037,0.39473090794796595,1.001721382005441e-05,0.9979541642896947
2.192660550458716,0.1753597324807407,1.0022988492024665e-05,0.999998806955773,2.192660550458716,0.39468780148425836,1.0022957096610546e-05,0.997273405571832
2.1908256880733945,0.17546051932200024,1.0028752134941464e-05,0.9999985081285558,2.1908256880733945,0.3946447371876686,1.0028703047568626e-05,0.9965932672912459
2.1889908256880735,0.17556142212379788,1.0034522408629467e-05,0.9999982093613653,2.1889908256880735,0.39460171517381054,1.0034451676620428e-05,0.9959137488513079
2.1871559633027524,0.1756624411042812,1.0040299324539449e-05,0.9999979107560648,2.1871559633027524,0.39455873555157844,1.0040202987465753e-05,0.9952348496390186
2.1853211009174314,0.17576357648466928,1.0046082894149207e-05,0.9999976124290697,2.1853211009174314,0.39451579843467194,1.0045956983812415e-05,0.9945565690541116
2.1834862385321103,0.17586482848094295,1.0051873128963564e-05,0.9999973144640535,2.1834862385321103,0.39447290392933626,1.0051713669376241e-05,0.9938789064781304
2.1816513761467893,0.1759661973079893,1.0057670040514368e-05,0.9999970169355947,2.1816513761467893,0.3944300521444542,1.0057473047881071e-05,0.9932018612998945
2.1798165137614682,0.17606768318087823,1.0063473640360492e-05,0.999996719916453,2.1798165137614682,0.39438724319010765,1.0063235123058759e-05,0.9925254329118616
2.1779816513761467,0.17616928631037557,1.0069283940087833e-05,0.999996423452103,2.1779816513761467,0.39434447716745646,1.0068999898649175e-05,0.9918496206846612
2.1761467889908257,0.1762710069058146,1.0075100951309318e-05,0.9999961275771057,2.1761467889908257,0.394301754183185,1.00747673784002e-05,0.991174424003475
2.1743119266055047,0.1763728451744491,1.0080924685664891e-05,0.9999958323114697,2.1743119266055047,0.39425907433648527,1.0080537566067733e-05,0.9904998422352946
2.1724770642201836,0.1764748013236931,1.008675515482153e-05,0.9999955376733851,2.1724770642201836,0.3942164377364221,1.0086310465415684e-05,0.9898258747725777
2.1706422018348626,0.17657687555630186,1.0092592370473235e-05,0.9999952436519379,2.1706422018348626,0.3941738444773162,1.0092086080215976e-05,0.9891525209714018
2.1688073394495415,0.17667906807485662,1.009843634434103e-05,0.9999949502325762,2.1688073394495415,0.3941312946597344,1.009786441424855e-05,0.9884797802042158
2.1669724770642205,0.17678137907983305,1.0104287088172964e-05,0.9999946573861962,2.1669724770642205,0.39408878838252576,1.0103645471301357e-05,0.9878076518398302
2.1651376146788994,0.17688380876895038,1.0110144613744112e-05,0.9999943650655041,2.1651376146788994,0.3940463257428157,1.0109429255170364e-05,0.9871361352434178
2.1633027522935784,0.17698635733812795,1.011600893285658e-05,0.9999940732104733,2.1633027522935784,0.39400390683382186,1.0115215769659552e-05,0.9864652297710563
2.161467889908257,0.17708902498276682,1.012188005733949e-05,0.9999937817556201,2.161467889908257,0.3939615317513856,1.0121005018580918e-05,0.9857949347860995
2.159633027522936,0.17719181189516883,1.0127757999048992e-05,0.9999934906154522,2.159633027522936,0.3939192005896146,1.0126797005754467e-05,0.985125249648263
