model,Omega_m,Omega_b,Omega_d,geo_xi,mu_eff,sigma8
LCDM,0.31171194726388524,0.05,0.26171194726388525,1.0,1.0,0.8086364304187131
GEO_CLASS,0.31424565868154797,0.05,0.264245658681548,0.7739826180784967,0.8099445121695374,0.7618667259727733
