model,h,Omega_m,Omega_b,Omega_d,sigma8,geo_xi,mu_eff,Omega_growth,chi2_fs8,sigma8_class_raw
LCDM,0.6714,0.32194,0.05,0.27194,0.5597861989852837,1.0,1.0,0.32194,66.19848079765593,0.8321336485301276
GEO_CLASS,0.6714,0.32194,0.05,0.27194,0.8691046445464511,0.0,0.15530844256693793,0.049999999999999996,22.814633257044008,0.8321336485301276
