candidate,value,RMSE,MAE,max_err,rel_mean
3/4,0.75,0.019399551822209263,0.017888696301875884,0.02408841467317735,0.02385159506916785
sqrt(3/5),0.7745966692414834,0.02108018769512933,0.013681280045005906,0.03409432398929324,0.01766245658970258
pi/4,0.7853981633974483,0.029267783007391003,0.02448277420097078,0.044895818145258115,0.031172436277497828
1/sqrt(2),0.7071067811865475,0.05614769083015179,0.05380860800993004,0.06698163348662989,0.07609686322006062
sqrt(2/3),0.816496580927726,0.057848645307023536,0.055581191731248536,0.07599423567553587,0.06807277951867924
cos(30deg),0.8660254037844387,0.10632644100257199,0.10511001458796121,0.12552305853224854,0.12137059043376977
2/pi,0.6366197723675814,0.12532596399975454,0.12429561682889612,0.13746864230559597,0.19524309835153594
sqrt(pi)/2,0.8862269254527579,0.1263335980984516,0.12531153625628044,0.14572458020056778,0.14139892690832084
phi_inv,0.6180339887498949,0.14377861970115272,0.1428814004465826,0.15605442592328245,0.231186962282755
