test,family,family_distance,H0,Omega_m,sigma8,S8,mu_eff,Omega_growth,chi_total,AIC,BIC,fc,f_out,eta,active_angle_deg,outside_angle_deg,active_angle_rad,outside_angle_rad,tension_to_node,compression_to_base,active_radius,volume_radius
01_growth_S8,BASE_3_4,0.007935613015686127,66.93156004359444,0.3179978915446604,0.757803915996969,0.7802042973180384,0.7826205698826935,0.2488716911021771,11.543903132682663,19.543903132682665,24.576289284768592,0.7420643869843139,0.2579356130156861,0.5506595544304055,267.143179314353,92.85682068564701,4.662528053281068,1.6206572538985187,0.03253228225716953,0.007935613015686127,0.8614315915871172,0.9053444908046169
02_BAO_SN_full,NODE_sqrt35,0.0005082545683060546,67.13600955627692,0.3141276848258029,0.7616893232888812,0.7794178496413635,0.8100469748765068,0.2544581808181024,1814.333368586101,1822.333368586101,1844.1799301549352,0.7740884146731773,0.22591158532682265,0.599212873731233,278.6718292823438,81.32817071765615,4.863740953532447,1.4194443536471395,0.0005082545683060546,0.02408841467317735,0.879822945070869,0.9181849907445488
03_weak_lensing_prior_KiDS_like,NODE_sqrt35,0.0005082545683060546,67.13600955627692,0.3141276848258029,0.7616893232888812,0.7794178496413635,0.8100469748765068,0.2544581808181024,1814.333368586101,1822.333368586101,1844.1799301549352,0.7740884146731773,0.22591158532682265,0.599212873731233,278.6718292823438,81.32817071765615,4.863740953532447,1.4194443536471395,0.0005082545683060546,0.02408841467317735,0.879822945070869,0.9181849907445488
03_weak_lensing_prior_DES_HSC_like,BASE_3_4,0.009497654747809836,67.12676194364445,0.3142691461332161,0.7525376739763108,0.7702265629400652,0.7817882395152259,0.2456919224894403,1814.7125376285692,1822.7125376285692,1844.559099197404,0.7405023452521902,0.25949765474780984,0.5483437233239938,266.58084429078843,93.41915570921154,4.652713455620587,1.6304718515589998,0.03409432398929324,0.009497654747809836,0.8605244594154138,0.904708796046349
03_weak_lensing_prior_DES_Y3_like,NODE_sqrt35,0.0007632848419546479,67.13519469615886,0.3144850217221435,0.7621201520311794,0.7803021452797224,0.8097916335972117,0.2546673394822292,1814.323429354481,1822.323429354481,1844.1699909233157,0.7738333843995288,0.22616661560047124,0.5988181068112288,278.58001838383035,81.41998161616965,4.862138551064172,1.4210467561154143,0.0007632848419546479,0.023833384399528756,0.8796780004066992,0.9180841449472537
